name,placeRating,theme,address,latitude,longitude,webUrl,textRating,text,numberOfReviews,lang,id,website,city,imageUrl_x,description_x,text_sentiment,subtype
Abha Palace Hotel,3.9,Hotel,"Abha Al Jadidah، 6497 - حي - 3731, Abha 62512, Saudi Arabia",18.210219,42.4830969,https://www.google.com/maps/search/?api=1&query=Abha%20Palace%20Hotel&query_place_id=ChIJddoowolU4xUR3iNVr0mS0mw,5,,6067,,ChIJddoowolU4xUR3iNVr0mS0mw,,Abha,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/62/fe/6b/20180319-165817-largejpg.jpg?w=2100&h=1200&s=1,,positive,Food & Dining
Green Mountains,4,National Parks,"King Abdulaziz Road, Abha Saudi Arabia",18.23251,42.50146,https://www.tripadvisor.com/Attraction_Review-g298542-d16852103-Reviews-Green_Mountains-Abha_Asir_Province.html,3,"Good has a restaurant and stadiums and overlooking the beautiful city of Abha
......... The night view is very beautiful and there are places for sitting and entertainment",7,ar,16852103,,Abha,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/54/38/a6/green-mountain-from-telpher.jpg?w=1400&h=-1&s=1,,positive,Nature & Parks
Asir National Park,4.5,Parks,Abha Saudi Arabia,18.20052035,42.49568308,https://www.tripadvisor.com/Attraction_Review-g298542-d485189-Reviews-Asir_National_Park-Abha_Asir_Province.html,4,"A wonderful place to recreation and the brightness in the embrace of the picturesque nature and the moderate atmosphere throughout the year, and there are services and facilities",17,ar,485189,http://www.fly.com.sa,Abha,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/18/c7/ff/asir-national-park.jpg?w=1400&h=-1&s=1,,positive,Nature & Parks
Shamsan Ottoman Castle,5,Castles,"3738 - Hayi - 8826, Abha 62521 Saudi Arabia",18.246468,42.511723,https://www.tripadvisor.com/Attraction_Review-g298542-d25073725-Reviews-Shamsan_Ottoman_Castle-Abha_Asir_Province.html,5,"The historic Shamsan Castle, which is one of the distinctive tourist places in the Asir region, is a place of attraction for tourists and is located on a high area in the city of Abha and overlooks the city of Abha from four sides and was considered protection for the city of Abha from the north in the event of any aggressor entered and accompanied at the time the prohibited historical place",1,ar,25073725,,Abha,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/8d/8c/ac/caption.jpg?w=1100&h=600&s=1,,positive,Historical Sites & Landmarks
High City,4.5,Parks,"6169 King Abdul Aziz Rd, Abha 62511 Saudi Arabia",18.20068298,42.49603151,https://www.tripadvisor.com/Attraction_Review-g298542-d19710173-Reviews-High_City-Abha_Asir_Province.html,5,"A beautiful and elegant place of modern places in Abha extracts the visit, and there is exciting from shops, restaurants and cafes",9,ar,19710173,,Abha,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/a4/dc/ac/caption.jpg?w=1000&h=-1&s=1,,neutral,Nature & Parks
Rijal Amama Amama,4.5,Art Museums,"Brightest Region Of Asir Province Of Rojal, Abha Saudi Arabia",18.21254,42.27385,https://www.tripadvisor.com/Attraction_Review-g298542-d23916090-Reviews-Rijal_Almaa_Museum-Abha_Asir_Province.html,5,"I did not go to the museum as it wasn't open. But there doesn't seem to be an entry for just the town. This is a beautiful and interesting place to visit. If you are visiting Abha, don't miss it! We climbed around the village and explored the walkways and stairs. Really amazing site!",3,en,23916090,,Abha,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/69/46/4b/caption.jpg?w=1400&h=-1&s=1,One of the Must visit place in Saudi Arabia. Rijal Alma is in tentative UNESCO world heritage site list. Located in Aseer region and just 40-60kms from Abha city,positive,Galleries
River Trips,5,Historic Walking Areas,Abha Saudi Arabia,18.23509342,42.50861737,https://www.tripadvisor.com/Attraction_Review-g298542-d24163826-Reviews-Abha_Trips-Abha_Asir_Province.html,5,"A colleague and I had half a day in Jeddah city and we decided to visit the Old Town. I found a listing by Abha Trips and booked a slot. For some reason, even though I had booked it for morning, the app gave me a confirmation for evening. I contacted Dr. Osama regarding the same and he immediately sorted it out and gave us a morning tour. Muhammad was our guide for the day and he was extremely gracious, forthcoming and knowledagle about the city and it's history. We walked around the town at leisure while he explained the history and significance of the structures and the current restoration work. He also told us about the other places that we could visit in the city. We were looking to buy some perfumes and dates and he was extremely accomodating and took us to 3-4 different shops with a variety of products available. I highly recommend Abha Trips and Muhammad for your next trip to Jeddah if you wish to explore the city and understand it's history and culture. We had a great experience and are extremely happy with the service.",81,en,24163826,http://Abhatrips.com,Abha,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/80/9a/d9/abha-trips.jpg?w=2400&h=1800&s=1,Abha trips was created for visitors to recognize the southern beauty of Saudi Arabia. Our tours are private because It's important to us to engage and create a personal connection because it makes the experience very authentic. We speak English fluently and we grew up learning the history of the region and culture.,positive,Historical Sites & Landmarks
Historical Hits,5,Historic Walking Areas,"2530 Hwy., Abha 62558 Saudi Arabia",18.373938,42.37731,https://www.tripadvisor.com/Attraction_Review-g298542-d25756857-Reviews-Historical_Tabab-Abha_Asir_Province.html,5,"The palaces of the family of Al -Muthami, which overlooks the banks of Wadi Tallel, appear as one of the most important palaces of the historical village of Tabb, and consists of 6 locations built of rock mountain stones, which are varying high with an area Which surprises visitors from time to time.",1,ar,25756857,https://www.visitsaudi.com/ar/see-do/destinations/abha/historical-tabab-aseer,Abha,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/27/5a/43/6-4.jpg?w=1400&h=-1&s=1,,positive,Historical Sites & Landmarks
Fatima Museum,5,Specialty Museums,"King Abdullah Rd, Abha 62523 Saudi Arabia",18.200174,42.521046,https://www.tripadvisor.com/Attraction_Review-g298542-d24191930-Reviews-Fatima_Museum-Abha_Asir_Province.html,5,"As soon as your gaze falls on the inscriptions of the art of the Asiri cat in the Fatima Museum of the Asiri Women's Heritage, your sense of beauty overflows from your depths, where the engravings and engineering decorations are transferred to you in their bright colors and cultural dimensions, the splendor of the artistic touch of the Asiri women, and the aesthetics of their abstract works, which moved from the walls of radiant southern homes Life to the world, to enter the arts listed in the UNESCO Intangible Heritage List.

The Fatima Museum of the Asiri Women's Heritage defines its visitors with the aesthetics of the Asiri cat, by highlighting its authentic history, through a visual clip inside the museum hall full of nature colors, and gives them the opportunity to acquire products adorned by the Asiri cat from home tools, rocks, and multi -size paintings.",2,ar,24191930,,Abha,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/f9/de/4c/caption.jpg?w=1400&h=-1&s=1,,positive,Museums
Ava Crown Hotel,3.4,Hotel,"حي، طريق الجامعة, Mansak، 6HM4+FF6، إشارة المنسك، طريق الملك فهد)- طريق ابها الخميس, Abha 62528, Saudi Arabia",18.2336875,42.5561875,https://www.google.com/maps/search/?api=1&query=Abha%20Crown%20Hotel&query_place_id=ChIJbz_qhimr_BURg64bp0tA3O0,5,,1246,,ChIJbz_qhimr_BURg64bp0tA3O0,,Abha,https://lh5.googleusercontent.com/FfpeEdjCAZR6fqfH-zRXSx7ei8XDLI_QakLuIVpcd1-mlwO7n3NR8ATZTOXLfHhX6A=w426-h240-k-no,,neutral,Food & Dining
Sarai Palace,4.1,Restaurant,"King Abdul Aziz Rd, As Sarawat, Abha 62511, Saudi Arabia",18.2007354,42.4956752,https://www.google.com/maps/search/?api=1&query=Saraya%20Palace&query_place_id=ChIJVcwoURhT4xURiej7-djgc9Q,3,"Great place and service, the food was delicious if you’re hungry.",3147,en,ChIJVcwoURhT4xURiej7-djgc9Q,,Abha,https://lh5.googleusercontent.com/p/AF1QipM1JapuA0UDVXhD27dsZAoG_q4a14febcz62I1Q=w408-h305-k-no,,neutral,Food & Dining
"Pottery dish for breakfast, lunch, dinner and barbecue",4.3,Breakfast restaurant,"3452 طريق الإمام عبدالرحمن بن فيصل بن تركي, Al Shifa، 6934, Abha 62521, Saudi Arabia",18.2078305,42.5012028,https://www.google.com/maps/search/?api=1&query=%D8%B7%D8%A8%D9%82%20%D8%A7%D9%84%D9%81%D8%AE%D8%A7%D8%B1%20%D8%A7%D9%81%D8%B7%D8%A7%D8%B1%20%D9%88%D8%BA%D8%AF%D8%A7%D8%A1%20%D9%88%D8%B9%D8%B4%D8%A7%D8%A1%20%D9%88%D9%85%D8%B4%D9%88%D9%8A%D8%A7%D8%AA&query_place_id=ChIJj7Oul71T4xURR96ez9hdm5A,5,I asked for breakfast and a refrigerator of tea and I was briefed on the invoice and it became clear that tea for 15 riyals and asked the accountant to cancel the tea request and refused to enter the Egyptian chef and solve the problem. Thank you to the chef. I hope that the accountant took his role in the field of smile.,568,ar,ChIJj7Oul71T4xURR96ez9hdm5A,,Abha,https://lh5.googleusercontent.com/p/AF1QipM3Qebmjx4bvRfPW6z3ewQslEUmWJ8jsesFF0U=w408-h306-k-no,,neutral,Food & Dining
Sultan de Lite Burger Sultan Delight Burger,4.2,Fast food restaurant,"Street, King Fahd Rd, Mansak, Abha 62523, Saudi Arabia",18.2193301,42.5292936,https://www.google.com/maps/search/?api=1&query=%D8%B3%D9%84%D8%B7%D8%A7%D9%86%20%D8%AF%D9%8A%20%D9%84%D8%A7%D9%8A%D8%AA%20%D8%A8%D8%B1%D8%AC%D8%B1%20%7C%20Sultan%20Delight%20Burger&query_place_id=ChIJ01LtL_5V4xURDZufLXgdImY,5,,610,,ChIJ01LtL_5V4xURDZufLXgdImY,,Abha,https://lh5.googleusercontent.com/p/AF1QipM6J8I5XseyeGwLs6yT_99fAKM1Diq4sRdiet70=w408-h475-k-no,,negative,Food & Dining
Takka Land Restaurant,3.9,Restaurant,"Abu Huraira Rd, Abha 62527, Saudi Arabia",18.2283741,42.5580925,https://www.google.com/maps/search/?api=1&query=Takka%20Land%20Restaurant%20(%20%D9%85%D8%B7%D8%B9%D9%85%20%D8%A7%D8%B1%D8%B6%20%D8%A7%D9%84%D8%AA%D9%83%D8%A7)&query_place_id=ChIJ5enAcAOr_BURK1F7U4CZ16I,3,"I tried them with a terrible frank chicken, give it 9/10
I tried a bad Kabab, I liked it, give it 2/10
As for the place, there is no interest, I mean, you feel old once, until the laundries are broken, and there is no local, and the service is bad.",310,ar,ChIJ5enAcAOr_BURK1F7U4CZ16I,,Abha,https://lh5.googleusercontent.com/p/AF1QipM9RW25Jq2ygS1dmKc6a-QfkHRMGIu4PwzYK8IL=w408-h544-k-no,,neutral,Food & Dining
Potcheri Carill 2,2.3,Restaurant,"King Abdul Aziz Rd, Al Muftaha, Abha 62521, Saudi Arabia",18.2100616,42.4906027,https://www.google.com/maps/search/?api=1&query=%D8%A8%D9%88%D8%AA%D8%B4%D8%B1%D9%8A%20%D9%82%D8%B1%D9%8A%D9%84%202&query_place_id=ChIJkbIRMnFT4xURjGJvH8eP-W0,5,,6,,ChIJkbIRMnFT4xURjGJvH8eP-W0,,Abha,https://lh5.googleusercontent.com/p/AF1QipMajDmnpyICpZl46nlzphZXBz54d8b8crtASK85=w408-h544-k-no,,positive,Food & Dining
Makbooskum Restaurants,4.6,Restaurant,"حي, King Faisal Rd, Alqura, Abha 62541, Saudi Arabia",18.2352172,42.4999295,https://www.google.com/maps/search/?api=1&query=%D9%85%D8%B7%D8%A7%D8%B9%D9%85%20%D9%85%D9%83%D8%A8%D9%88%D8%B3%D9%83%D9%85&query_place_id=ChIJxYGAcepV4xUROqRmSl00KMA,5,,393,,ChIJxYGAcepV4xUROqRmSl00KMA,,Abha,https://lh5.googleusercontent.com/p/AF1QipMbpAJRITidAiO7f8t9XYZpPvrbK_WBbjhqMkOJ=w408-h306-k-no,,positive,Food & Dining
Durrat China Restaurants,3.8,Chinese restaurant,"King Abdul Aziz Rd, الحزام الدائري, Abha 62512, Saudi Arabia",18.2078196,42.4904229,https://www.google.com/maps/search/?api=1&query=Durrat%20China%20Restaurants&query_place_id=ChIJpf3C5M1T4xURhKvPh6NYWlI,2,A bad experience,484,ar,ChIJpf3C5M1T4xURhKvPh6NYWlI,,Abha,https://lh5.googleusercontent.com/p/AF1QipMe7vomquo3tLKGTTqI1TMPJ4maH_SjLJeHsCUp=w408-h544-k-no,,positive,Food & Dining
Turkish Fork Turkish Fork Restaurant,4.3,Turkish restaurant,"ABUB4373، 4373 King Fahd Rd, Sirr ad Ghalidh, 8264, Abha 62583, Saudi Arabia",18.2414714,42.6091691,https://www.google.com/maps/search/?api=1&query=Turkish%20Fork%20%D9%85%D8%B7%D8%B9%D9%85%20%D8%A7%D9%84%D8%B4%D9%88%D9%83%D8%A9%20%D8%A7%D9%84%D8%AA%D8%B1%D9%83%D9%8A%D8%A9&query_place_id=ChIJr1cQegCr_BURPD7YTF95LPA,5,Very good reasturent in abha  and  food very good,225,en,ChIJr1cQegCr_BURPD7YTF95LPA,,Abha,https://lh5.googleusercontent.com/p/AF1QipMeB8nH-jeylyjiN2YYiBIxbWUYNdN2DsBJ9Kmr=w408-h544-k-no,,positive,Food & Dining
